"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"HUNGARY",2.43055555555556,5.60810810810811,5,4.6,8,3,3.83333333333333,NA,NA,NA,4.75714285714286,2.7,1.25,1.72222222222222,4.0479902979903,4.6,4.07142857142857,1.25,3.05978835978836,3.9173973973974
"ICELAND",5.13888888888889,NA,NA,2.2,3,3.66666666666667,4.5,NA,NA,NA,2.78571428571429,NA,1.25,0.4,5.13888888888889,2.2,3.92857142857143,1.25,1.59285714285714,4.29170634920635
"INDIA",3.68055555555556,8.10810810810811,10,6.4,3,3.5,3.16666666666667,5,3.2,5,4.48571428571429,2.5,2.5,2.96666666666667,6.35568260568261,6.4,3.5,3.56666666666667,3.31746031746032,5.64040004290004
"INDONESIA",6.52777777777778,NA,10,6.8,0,4,4.33333333333333,NA,3.8,NA,4.32857142857143,3.7,1.25,3.85555555555556,7.39583333333333,6.8,3.57142857142857,2.525,3.96137566137566,6.34732473544973
"IRAN",NA,NA,10,7.5,3,5,5.16666666666667,NA,NA,NA,4.74285714285714,7.2,5,8.55555555555556,10,7.5,4.78571428571429,5,6.83280423280423,8.55949735449735
"IRAQ",8.36879432624113,NA,10,8.4,6,NA,NA,NA,9.6,NA,NA,6.5,7.5,7.3,8.77659574468085,8.4,6,8.55,6.9,8.21728723404255
"IRELAND",2.72108843537415,7.16216216216216,5,2.8,0,3.66666666666667,4.33333333333333,NA,NA,NA,2.47142857142857,NA,0,0.533333333333333,4.77979549408121,2.8,3.42857142857143,0,1.50238095238095,3.97627183305755
"ISRAEL",3.19727891156463,7.77027027027027,10,3.9,3,2.83333333333333,4,NA,NA,NA,3.48571428571429,NA,0,1.55555555555556,6.00269421697993,3.9,3.35714285714286,0,2.52063492063492,4.92135441564013
"ITALY",3.74149659863946,6.75675675675676,10,5.7,3,5,5.5,NA,4,NA,5,NA,0,1.03333333333333,5.86405872120158,5.7,4.92857142857143,2,3.01666666666667,5.37175721640007
"JAMAICA",4.72222222222222,NA,5,6.2,6,2.83333333333333,3.16666666666667,NA,NA,NA,4.77142857142857,2.7,5,2.23333333333333,4.79166666666667,6.2,3.42857142857143,5,3.23492063492064,4.66061507936508
"JAPAN",5.48611111111111,9.45945945945946,10,2.6,3,2.5,3.33333333333333,NA,NA,NA,2.5,NA,2.5,0.833333333333333,7.70876645876646,2.6,2.92857142857143,2.5,1.66666666666667,5.91831724581725
"JORDAN",5,NA,5,5.5,5,3.5,5,NA,4.3,NA,3.42857142857143,5.7,7.5,7.26666666666667,5,5.5,4.35714285714286,5.9,5.46507936507937,5.0218253968254
